정류소ID,정류소번호,정류소명,X좌표,Y좌표
101000045,02144,신세계앞,126.981512142,37.5607641991
101000046,02145,남대문시장.회현역,126.9777650546,37.5582675237
101000047,02146,남대문시장.회현역,126.9784645011,37.5584920257
101000048,02147,남산3호터널,126.982669512,37.558455773
101000049,02148,남산3호터널,126.9827190831,37.5594623018
101000050,02149,명동입구,126.9852407503,37.5606538896
101000051,02150,퇴계로2가.명동역,126.9844913623,37.5608934844
101000052,02151,퇴계로3가.한옥마을.한국의집,126.9917289172,37.5612168046
101000053,02152,퇴계로3가.한옥마을.한국의집,126.9924839556,37.5608717364
101000054,02153,충무로역2번출구.대한극장앞,126.9949175906,37.5612232926
101000055,02154,충무로역8번출구.대한극장앞,126.9965577393,37.5619180947
101000056,02155,초동,126.9931119513,37.5633461766
101000057,02156,을지로입구.로얄호텔,126.9853902774,37.5658757422
101000058,02157,을지로입구.시청입구,126.9811712097,37.5661382638
101000059,02158,을지로2가.기업은행본점.서울노동청,126.9865233528,37.566246226
101000060,02159,을지로2가.파인에비뉴,126.9888281722,37.5660094793
101000061,02160,을지로3가,126.9903755882,37.5663556351
101000062,02161,을지로3가,126.9913276421,37.5661205237
101000063,02162,을지로4가,126.9962179152,37.5666470197
101000064,02163,을지로4가.베스트웨스턴국도,126.9968473297,37.5664010399
101000065,02164,중구청앞.덕수중학교,126.9981401348,37.5647745951
101000066,02165,을지로5가,126.999258524,37.5668182855
101000067,02166,을지로5가.중부시장,127.0011150411,37.5666200422
101000068,02167,방산시장.훈련원종합체육관,127.0024044565,37.5679608485
101000069,02168,을지로5가.훈련원종합체육관,127.0025945654,37.5658243542
101000070,02169,을지로6가.국립중앙의료원,127.006377762,37.5660747142
101000071,02170,광희동,127.0072096931,37.5650528273
101000072,02171,광희동,127.0079579375,37.5649951093
101000073,02172,을지로6가.국립중앙의료원,127.0058434821,37.5664631128
101000074,02173,동대문역사문화공원,127.0083555318,37.5673541422
101000075,02174,동대문역사문화공원,127.0090234611,37.5676036956
101000077,02177,충무아트센터.스포츠센터.중부소방서,127.0140458533,37.5651927824
101000078,02178,충무아트센터.스포츠센터.중부소방서,127.0147408667,37.5650178857
101000079,02179,성동공업고등학교(무궁화회관),127.0157558376,37.5683481924
101000080,02180,성동공업고등학교앞,127.0161294881,37.5686950625
101000081,02181,신당역.중앙시장앞,127.0187426545,37.5657282804
101000082,02182,신당역.중앙시장앞,127.0194795301,37.5654920748
101000083,02183,성동고등학교,127.022057125,37.5655637088
101000084,02184,성동고등학교,127.0225482999,37.5651806516
101000085,02187,신당동떡볶이타운.중구여성플라자,127.0150958594,37.5627660096
101000086,02188,신당동떡볶이타운.중구여성플라자,127.0151908517,37.5623100443
101000087,02189,신당동.청구역,127.0132161263,37.5589483023
101000088,02190,신당동.청구역,127.0130316796,37.559257398
101000089,02191,약수역2번출구.중구구립도서관,127.0111465614,37.5559812136
101000090,02192,약수역3번출구.약수하이츠,127.0113796895,37.5557496102
101000091,02193,약수역4번출구.금호터널입구,127.012012,37.553399
101000092,02194,약수역5번출구.금호터널입구,127.0118693353,37.55292373
101000093,02195,약수역8번출구.신당사회복지관,127.0099566945,37.5538646495
101000094,02196,약수역7번출구.약수동주민센터,127.0092978444,37.5528509718
101000095,02197,송도병원앞,127.0077186988,37.5502676468
101000096,02198,송도병원앞,127.0073984027,37.550227118
